variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_win_share,cagr_win_share,group
200SMA_3in_2out_hybrid20SMA,0.08884728989670908,0.09071429031017295,0.1216921547544115,0.6987534307026266,0.6987534307026266,-0.14183489372201524,6.171077126346151,1.3056889732627615,0.30568897326276145,0.35,0.05,strategy_rollup
"set_[100, 150, 200]__x100_1_150_1_200_1",0.06766344063578315,0.07012833367541378,0.10827826046811091,0.5997422683256581,0.5997422683256581,-0.14166655861315836,6.827816803281783,1.2266887678684737,0.22668876786847378,0.25,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_1_200_2",0.06866127229283867,0.07106461292139452,0.1085621188302696,0.6077498158855928,0.6077498158855928,-0.14084811181251164,6.78978062817013,1.2303409815433715,0.2303409815433714,0.25,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_1",0.06553302497677757,0.06818007995750686,0.10857942928313773,0.5801801590102112,0.5801801590102112,-0.14536422176657593,7.050032526653114,1.2192576035465366,0.21925760354653648,0.15,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0665238193664155,0.06911635920348759,0.10890865081585661,0.5880548200613925,0.5880548200613925,-0.1445585440930136,7.0117602312674645,1.2228681964780508,0.22286819647805078,0.2,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_1",0.07385081417299008,0.07621550735708238,0.11028640568282137,0.6493610073690077,0.6493610073690077,-0.13767056833628505,6.379461785916398,1.2474849194729223,0.24748491947292237,0.25,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_2",0.07484929487172694,0.0771517866030631,0.11061594734964808,0.6568355385231242,0.6568355385231242,-0.1367182107318356,6.341535811441481,1.251183195787205,0.25118319578720505,0.3,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_1",0.07168981194991629,0.07426725363917544,0.1107395510478479,0.6293600145413427,0.6293600145413427,-0.14152571328629976,6.6081513155324885,1.2398673759354584,0.23986737593545823,0.25,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_2",0.07268121668499368,0.07520353288515617,0.11111290370840188,0.6366732449177783,0.6366732449177783,-0.1405868000994463,6.569993163825602,1.2435232765743707,0.24352327657437076,0.25,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_1",0.05575802604554594,0.05805064188968856,0.10249339308792804,0.4889811646221277,0.4889811646221277,-0.16095786562154252,7.630832107946969,1.1886613436875098,0.18866134368750964,0.15,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_2",0.05492318220107843,0.05735568048331237,0.10292396026463665,0.4804877226352026,0.4804877226352026,-0.16190293676435194,7.629325508482535,1.1853413925090557,0.1853413925090557,0.15,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_2_250_1",0.05670623645184385,0.05898692113566928,0.10322053346052011,0.49654611016934264,0.49654611016934264,-0.16052047258482136,7.581468553311154,1.1921211105949605,0.1921211105949605,0.2,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_2_250_2",0.05586731125495409,0.05829195972929309,0.10366147195203197,0.4879816690559471,0.4879816690559471,-0.1609353283994273,7.581028803275177,1.1887614942555345,0.18876149425553446,0.15,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_1",0.06189616296206761,0.06413781557135714,0.10454501987800688,0.5469573406452086,0.5469573406452086,-0.15655804657309347,7.276977105553824,1.2089814353875525,0.20898143538755248,0.25,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_2",0.061044102098722575,0.06344285416498095,0.10502286552793064,0.5380259269678869,0.5380259269678869,-0.15707954184216213,7.279582353860873,1.2055158279906064,0.2055158279906065,0.2,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_2_250_1",0.06284486516674188,0.06507409481733788,0.10531248375166798,0.5536948627515124,0.5536948627515124,-0.15613567553452165,7.230468482784192,1.2124856048195731,0.2124856048195732,0.25,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_2_250_2",0.06198868978355956,0.06437913341096167,0.10579971992334343,0.5447053407018874,0.5447053407018874,-0.15632904152556742,7.234226068596017,1.2089794062362986,0.2089794062362987,0.15,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_1",0.061291945180374396,0.06387452820366765,0.1072921426034024,0.5436379277784325,0.5436379277784325,-0.154003322551117,7.67803365213341,1.2060915381391943,0.20609153813919434,0.2,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_2",0.06276770752733038,0.06527894707263875,0.10789102327029991,0.555193577291333,0.555193577291333,-0.15331321010740806,7.624617804210547,1.2114912546986911,0.2114912546986912,0.2,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_1",0.07055129195956926,0.07300528872617054,0.1101501651084527,0.6205186148372317,0.6205186148372317,-0.14743819979138642,7.007192082869241,1.2369755864390315,0.23697558643903155,0.2,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_2",0.072028429987929,0.07440970759514164,0.11084731838185849,0.6308166296811402,0.6308166296811402,-0.14628442398621613,6.94916118348498,1.242478317659161,0.2424783176591611,0.25,0.0,strategy_rollup
sma100_3in_1out,0.05508151082252518,0.059194425091965,0.11483807403313509,0.5040769934637044,0.5040769934637044,-0.16104885617251874,8.514762282588787,1.1822349076451186,0.18223490764511865,0.0,0.0,strategy_rollup
sma100_3in_2out,0.07381886986688561,0.07745594613697078,0.11903775551112084,0.646727251028871,0.646727251028871,-0.14688740593664348,6.948245914405122,1.2450340040401287,0.24503400404012865,0.05,0.0,strategy_rollup
sma100_3in_3out,0.07864907873512508,0.08203276401828266,0.1219686594986615,0.6617185907624076,0.6617185907624076,-0.15350908057609963,7.052536509873244,1.2637712793991964,0.2637712793991965,0.25,0.0,strategy_rollup
sma150_3in_1out,0.08012836604103689,0.08263594461890603,0.11440828352517089,0.6864832854014277,0.6864832854014277,-0.12395939817134423,5.276930016886275,1.2683282641783609,0.268328264178361,0.2,0.0,strategy_rollup
sma150_3in_2out,0.07366929343967278,0.07679118346518525,0.11542891501129923,0.6301176750086783,0.6301176750086783,-0.1343021396113546,5.9629703124553,1.2454949445771908,0.24549494457719084,0.15,0.0,strategy_rollup
sma150_3in_3out,0.08181094801782128,0.08455823559255973,0.11903253612999401,0.6699880832456744,0.6699880832456744,-0.14031704047371188,6.1113053443905585,1.2758585668112858,0.27585856681128584,0.2,0.0,strategy_rollup
sma200_3in_1out,0.06647968314522382,0.06855463131537032,0.11139409162468308,0.5332187625550594,0.5332187625550594,-0.16558630234217928,7.757862744918135,1.229005691811961,0.22900569181196112,0.3,0.0,strategy_rollup
sma200_3in_2out,0.06930753745300228,0.0713634690533125,0.11359641328981925,0.5527838937142728,0.5527838937142728,-0.1638305016110033,7.623053877105408,1.2394203937951913,0.23942039379519137,0.3,0.0,strategy_rollup
sma200_3in_3out,0.07475629652520462,0.07762271959601677,0.11728727941600688,0.6060596068166804,0.6060596068166804,-0.16145596290318598,7.083316949430658,1.2529982142936742,0.2529982142936742,0.25,0.0,strategy_rollup
sma250_3in_1out,0.04357251077805378,0.04640286926173036,0.10694811025419537,0.3485498458968746,0.3485498458968746,-0.18148956878781147,8.350451492818795,1.15249199981614,0.1524919998161401,0.05,0.0,strategy_rollup
sma250_3in_2out,0.04089033904517812,0.044317985042601774,0.10900307412865189,0.3193907666762712,0.3193907666762712,-0.189000538616664,8.36557398006471,1.1414827955420148,0.1414827955420148,0.05,0.0,strategy_rollup
sma250_3in_3out,0.044148036410049496,0.04757074089413042,0.11112646842794578,0.35790800252592436,0.35790800252592436,-0.1880770256054113,8.615676992217917,1.153215003466199,0.15321500346619904,0.1,0.0,strategy_rollup
baseline_buyhold,0.15238557834758487,0.16070478693694845,0.1972398155472997,0.8355203674020636,0.8355203674020636,-0.24340612149328006,7.763418606646605,1.5413957077415223,0.5413957077415225,,,baseline_rollup
